"table_name","constraint_name","constraint_type","column_name","foreign_table","foreign_column"
"address_contacts","address_contacts_pkey","PRIMARY KEY","id","address_contacts","id"
"address_types","address_types_pkey","PRIMARY KEY","id","address_types","id"
"addresses","addresses_address_type_id_fkey","FOREIGN KEY","address_type_id","address_types","id"
"addresses","addresses_collection_id_fkey","FOREIGN KEY","collection_id","collections","id"
"addresses","addresses_pkey","PRIMARY KEY","id","addresses","id"
"addresses","addresses_street_id_fkey","FOREIGN KEY","street_id","streets","id"
"collection_contact_roles","collection_contact_roles_collection_id_fkey","FOREIGN KEY","collection_id","collections","id"
"collection_contact_roles","collection_contact_roles_contact_id_fkey","FOREIGN KEY","contact_id","contacts","id"
"collection_contact_roles","collection_contact_roles_pkey","PRIMARY KEY","id","collection_contact_roles","id"
"collection_pulse","collection_pulse_collection_id_fkey","FOREIGN KEY","collection_id","collections","id"
"collection_pulse","collection_pulse_pkey","PRIMARY KEY","id","collection_pulse","id"
"collections","collections_pkey","PRIMARY KEY","id","collections","id"
"contact_types","contact_types_pkey","PRIMARY KEY","id","contact_types","id"
"contacts","contacts_collection_id_fkey","FOREIGN KEY","collection_id","collections","id"
"contacts","contacts_pkey","PRIMARY KEY","id","contacts","id"
"default_role_user_assignments","default_role_user_assignments_engagement_role_id_fkey","FOREIGN KEY","engagement_role_id","engagement_roles","id"
"default_role_user_assignments","default_role_user_assignments_pkey","PRIMARY KEY","id","default_role_user_assignments","id"
"default_role_user_assignments","default_role_user_assignments_user_id_fkey","FOREIGN KEY","user_id","users","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_address_type_id_fkey","FOREIGN KEY","address_type_id","address_types","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_calendar_entity_id_fkey","FOREIGN KEY","calendar_entity_id","calendar_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_collection_entity_id_fkey","FOREIGN KEY","collection_entity_id","collection_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_contact_type_id_fkey","FOREIGN KEY","contact_type_id","contact_types","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_engagement_role_id_fkey","FOREIGN KEY","engagement_role_id","engagement_roles","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_entity_subtype_id_fkey","FOREIGN KEY","entity_subtype_id","entity_subtypes","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_entity_type_id_fkey","FOREIGN KEY","entity_type_id","entity_types","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_geo_entity_id_fkey","FOREIGN KEY","geo_entity_id","geo_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_notification_entity_id_fkey","FOREIGN KEY","notification_entity_id","notification_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_opportunity_type_id_fkey","FOREIGN KEY","opportunity_type_id","opportunity_types","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_organization_entity_id_fkey","FOREIGN KEY","organization_entity_id","organization_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_parent_entity_id_fkey","FOREIGN KEY","parent_entity_id","parent_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_permission_entity_id_fkey","FOREIGN KEY","permission_entity_id","permission_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_pkey","PRIMARY KEY","id","engagement_role_entity_mappings","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_production_entity_id_fkey","FOREIGN KEY","production_entity_id","production_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_sales_engine_entity_id_fkey","FOREIGN KEY","sales_engine_entity_id","sales_engine_entities","id"
"engagement_role_entity_mappings","engagement_role_entity_mappings_team_entity_id_fkey","FOREIGN KEY","team_entity_id","team_entities","id"
"engagement_role_types","entity_engagement_role_types_pkey","PRIMARY KEY","id","engagement_role_types","id"
"engagement_roles","entity_engagement_roles_pkey","PRIMARY KEY","id","engagement_roles","id"
"entity_creation_role_mappings","entity_creation_role_mappings_engagement_role_id_fkey","FOREIGN KEY","engagement_role_id","engagement_roles","id"
"entity_creation_role_mappings","entity_creation_role_mappings_pkey","PRIMARY KEY","id","entity_creation_role_mappings","id"
"entity_form_mappings","entity_form_mappings_address_type_id_fkey","FOREIGN KEY","address_type_id","address_types","id"
"entity_form_mappings","entity_form_mappings_calendar_entity_id_fkey","FOREIGN KEY","calendar_entity_id","calendar_entities","id"
"entity_form_mappings","entity_form_mappings_collection_entity_id_fkey","FOREIGN KEY","collection_entity_id","collection_entities","id"
"entity_form_mappings","entity_form_mappings_contact_type_id_fkey","FOREIGN KEY","contact_type_id","contact_types","id"
"entity_form_mappings","entity_form_mappings_entity_subtype_id_fkey","FOREIGN KEY","entity_subtype_id","entity_subtypes","id"
"entity_form_mappings","entity_form_mappings_entity_type_id_fkey","FOREIGN KEY","entity_type_id","entity_types","id"
"entity_form_mappings","entity_form_mappings_form_definition_id_fkey","FOREIGN KEY","form_definition_id","form_definitions","id"
"entity_form_mappings","entity_form_mappings_geo_entity_id_fkey","FOREIGN KEY","geo_entity_id","geo_entities","id"
