"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","salesblanket","public","spatial_ref_sys","srid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","core_settings","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","core_settings","setting_key",2,"character varying",100,"UNIQUE",NULL,NULL,NULL
"postgresql","salesblanket","public","permissions","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","user_analytics","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","activity_log","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","zone_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","department_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","view_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","drive_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","contact_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","opportunity_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","location_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","goal_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","notification_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_event_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","bucket_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","touchpoint_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_achievement_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_role_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","document_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","estimate_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","users","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","users","username",2,"character varying",100,"UNIQUE",NULL,NULL,NULL
"postgresql","salesblanket","public","users","email",4,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","salesblanket","public","role_permissions","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","user_roles","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","user_settings","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","role_goals","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","role_settings","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","geographic_zones","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","zone_hierarchies","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","zones","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","user_zone_scope","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_zones","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","user_analytics","user_id",2,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","neighborhoods","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","neighborhood_streets","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","locations","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","location_settings","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","location_departments","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","location_drives","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","location_documentation","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","teams","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","team_members","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","team_members","user_id",3,"uuid",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","salesblanket","public","team_members","team_id",2,"uuid",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","salesblanket","public","team_neighborhoods","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","team_settings","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","department_roles","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","department_milestones","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","department_views","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","drive_buckets","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","drive_departments","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","drive_geography_mapping","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","drive_access_levels","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","drive_achievements","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","bucket_settings","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","bucket_touchpoints","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","view_configurations","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","user_view_preferences","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","role_views","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","group_views","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","addresses","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","contacts","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","address_contacts","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","opportunities","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","opportunity_contacts","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","address_opportunities","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagements","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_roles","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_role_permissions","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_access_history","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_access_conflict","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_access_default_rules","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_cards","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_layout","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_card_layout","entity_type_id",2,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","pulse","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse","entity_type_id",3,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","pulse_calendar","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_drive","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_mail","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_virtual_sales","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_tasks","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_ai","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_notebook","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","touchpoints","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","touchpoints","entity_type_id",2,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","touchpoints","address_id",3,"uuid",NULL,"FOREIGN KEY","public","addresses","id"
"postgresql","salesblanket","public","touchpoints","contact_id",4,"uuid",NULL,"FOREIGN KEY","public","contacts","id"
"postgresql","salesblanket","public","touchpoints","opportunity_id",5,"uuid",NULL,"FOREIGN KEY","public","opportunities","id"
"postgresql","salesblanket","public","touchpoints","user_id",6,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","touchpoints","zone_id",7,"uuid",NULL,"FOREIGN KEY","public","zones","id"
"postgresql","salesblanket","public","entity_touchpoints","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_touchpoints","entity_type_id",3,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","entity_touchpoints","touchpoint_code_id",4,"uuid",NULL,"FOREIGN KEY","public","touchpoint_types","id"
"postgresql","salesblanket","public","entity_touchpoints","created_by",7,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","touchpoint_applicable_entities","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","touchpoint_applicable_entities","touchpoint_code_id",2,"uuid",NULL,"FOREIGN KEY","public","touchpoint_types","id"
"postgresql","salesblanket","public","touchpoint_applicable_entities","entity_type_id",3,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","touchpoint_achievements","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","touchpoint_achievements","touchpoint_code_id",2,"uuid",NULL,"FOREIGN KEY","public","touchpoint_types","id"
"postgresql","salesblanket","public","touchpoint_achievements","achievement_type_id",3,"uuid",NULL,"FOREIGN KEY","public","entity_achievement_types","id"
"postgresql","salesblanket","public","entity_event_approvals","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_achievements","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_photos","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entities","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entities","entity_type_id",2,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","entity_managers","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_managers","entity_id",2,"uuid",NULL,"FOREIGN KEY","public","entities","id"
"postgresql","salesblanket","public","entity_managers","user_id",3,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","entity_managers","assigned_by",6,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","entity_events","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_events","entity_id",2,"uuid",NULL,"FOREIGN KEY","public","entities","id"
"postgresql","salesblanket","public","entity_events","entity_type_id",3,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","entity_events","performed_by",7,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","collections","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","addresses","collection_id",19,"uuid",NULL,"FOREIGN KEY","public","collections","id"
"postgresql","salesblanket","public","contacts","collection_id",19,"uuid",NULL,"FOREIGN KEY","public","collections","id"
"postgresql","salesblanket","public","opportunities","collection_id",9,"uuid",NULL,"FOREIGN KEY","public","collections","id"
"postgresql","salesblanket","public","saved_filters","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","saved_filters","entity_type_id",4,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","saved_filters","created_by",7,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","user_filters","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","user_filters","user_id",2,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","user_filters","filter_id",3,"uuid",NULL,"FOREIGN KEY","public","saved_filters","id"
"postgresql","salesblanket","public","filter_fields","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","filter_fields","entity_type_id",2,"uuid",NULL,"FOREIGN KEY","public","entity_types","id"
"postgresql","salesblanket","public","collection_pulse","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","collection_pulse","collection_id",2,"uuid",NULL,"FOREIGN KEY","public","collections","id"
"postgresql","salesblanket","public","user_google_tokens","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","user_google_tokens","user_id",2,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","entity_files","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_files","created_by",12,"uuid",NULL,"FOREIGN KEY","public","users","id"
"postgresql","salesblanket","public","pulse_messages","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_message_read_status","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_message_read_status","user_id",3,"uuid",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_message_read_status","collection_id",2,"uuid",NULL,"UNIQUE",NULL,NULL,NULL
