Table Name,web component,schema,record type,record sub_type,purpose,included in beta,FK - On Creation,indexing stradegy,Constraints,On Delete Behavior,record creation trigger,table trigger creation,table trigger record,on creation,on delete,data migration notes,audit requirements
activity_log,,"""activity_log""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""activity_log""        ""user_id""        ""uuid""        ""YES""        
""activity_log""        ""entity_id""        ""uuid""        ""YES""        
""activity_log""        ""entity_type""        ""character varying""        ""YES""        
""activity_log""        ""action""        ""character varying""        ""YES""        
""activity_log""        ""occurred_at""        ""timestamp with time zone""        ""YES""        ""now()""
""activity_log""        ""ip_address""        ""character varying""        ""YES""        
""activity_log""        ""user_agent""        ""text""        ""YES""        
""activity_log""        ""device""        ""jsonb""        ""YES""        
""activity_log""        ""geo""        ""jsonb""        ""YES""        
""activity_log""        ""meta""        ""jsonb""        ""YES""        ",tracking,tracking,assign triggers on records to record records here with meta data transactions.  we will build this out to incorperate the website as well.,yes,null,activity_log_pkey,"CHECK (((jsonb_typeof(device) = 'object'::text) OR (device IS NULL))), CHECK (((jsonb_typeof(geo) = 'object'::text) OR (geo IS NULL))), CHECK (((jsonb_typeof(meta) = 'object'::text) OR (meta IS NULL))), CHECK (id IS NOT NULL), PRIMARY KEY (id)",,user actions ,,,,,,
address_contacts,,"""address_contacts""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""address_contacts""        ""address_id""        ""uuid""        ""YES""        
""address_contacts""        ""contact_id""        ""uuid""        ""YES""        
""address_contacts""        ""contact_type_id""        ""uuid""        ""YES""        
""address_contacts""        ""is_primary""        ""boolean""        ""YES""        ""false""
""address_contacts""        ""metadata""        ""jsonb""        ""YES""        
""address_contacts""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""address_contacts""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joing table,,"Creates many-to-many relationships between addresses and contacts, allowing a single address to be associated with multiple contacts and vice versa.",,address_contacts has no foreign keys,address_contacts_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,addresses / contacts merger on collection,,,,,,
address_opportunities,,"""address_opportunities""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""address_opportunities""        ""address_id""        ""uuid""        ""YES""        
""address_opportunities""        ""opportunity_id""        ""uuid""        ""YES""        
""address_opportunities""        ""relationship_type""        ""character varying""        ""YES""        
""address_opportunities""        ""active""        ""boolean""        ""YES""        ""true""
""address_opportunities""        ""metadata""        ""jsonb""        ""YES""        
""address_opportunities""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""address_opportunities""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joing table,,"Creates many-to-many relationships between addresses and opportunities, allowing multiple opportunities to be associated with a single address.",,address_opportunities has no foreign keys,address_opportunities_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,addresses / opportunities merger on collection,,,,,,
address_types,,"""address_types""        ""id""        ""uuid""        ""NO""        
""address_types""        ""display_name""        ""character varying""        ""NO""        
""address_types""        ""description""        ""text""        ""YES""        
""address_types""        ""is_residential""        ""boolean""        ""YES""        ""true""
""address_types""        ""is_commercial""        ""boolean""        ""YES""        ""false""
""address_types""        ""is_active""        ""boolean""        ""YES""        ""true""
""address_types""        ""icon""        ""character varying""        ""YES""        
""address_types""        ""color""        ""character varying""        ""YES""        
""address_types""        ""order_index""        ""integer""        ""YES""        ""0""
""address_types""        ""created_at""        ""timestamp without time zone""        ""NO""        
""address_types""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",identification,identiers for sales and reporting,"commercial, residential, aparement, ect.",yes,null,address_types_pkey,"CHECK (created_at IS NOT NULL), CHECK (display_name IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (display_name), NOT NULL (id), NOT NULL (updated_at)",,UI created,,,,,,
addresses,,"""addresses""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""addresses""        ""display_name""        ""character varying""        ""YES""        
""addresses""        ""street""        ""character varying""        ""NO""        
""addresses""        ""address_line_2""        ""character varying""        ""YES""        
""addresses""        ""city""        ""character varying""        ""YES""        
""addresses""        ""state""        ""character varying""        ""YES""        
""addresses""        ""postal_code""        ""character varying""        ""YES""        
""addresses""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""addresses""        ""notes""        ""text""        ""YES""        
""addresses""        ""property_condition""        ""jsonb""        ""YES""        
""addresses""        ""next_knock_date""        ""timestamp with time zone""        ""YES""        
""addresses""        ""street_id""        ""uuid""        ""YES""        
""addresses""        ""neighborhood_id""        ""uuid""        ""YES""        
""addresses""        ""created_by""        ""uuid""        ""YES""        
""addresses""        ""location_geo""        ""USER-DEFINED""        ""YES""        
""addresses""        ""metadata""        ""jsonb""        ""YES""        
""addresses""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""addresses""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""addresses""        ""collection_id""        ""uuid""        ""YES""        
""addresses""        ""address_type_id""        ""uuid""        ""YES""        ",parental entity,key to the app - builds the entity,"holds a place name, address, geo location",yes,"addresses_address_type_id_fkey: address_type_id → address_types.id
addresses_collection_id_fkey: collection_id → collections.id
addresses_street_id_fkey: street_id → streets.id",addresses_pkey,"CHECK (id IS NOT NULL), CHECK (street IS NOT NULL), FOREIGN KEY (address_type_id) REFERENCES address_types(id), FOREIGN KEY (collection_id) REFERENCES collections(id), FOREIGN KEY (street_id) REFERENCES streets(id), PRIMARY KEY (id), NOT NULL (street)",no delete - make inactive,form,,"""Creates activity_log entry""
""Updates collection.updated_at timestamp""
""Potentially creates neighborhood_streets record if new street""","create - collections record, streets record",no delete - make inactive,,
approval_rules,,"""approval_rules""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""approval_rules""        ""name""        ""character varying""        ""NO""        
""approval_rules""        ""description""        ""text""        ""YES""        
""approval_rules""        ""conditions""        ""jsonb""        ""NO""        
""approval_rules""        ""is_active""        ""boolean""        ""YES""        ""true""
""approval_rules""        ""created_by""        ""uuid""        ""YES""        
""approval_rules""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""approval_rules""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",sales,approvals,"automatic approval of estimates that meet certain criteria (e.g., discount below threshold, margin above minimum), streamlining the process for straightforward cases.",no,approval_rules_created_by_fkey: created_by → users.id,approval_rules_pkey,"CHECK (conditions IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (conditions), NOT NULL (name)",,,,,,,,
catalog_items,,"""catalog_items""        ""id""        ""uuid""        ""NO""        
""catalog_items""        ""catalog_id""        ""uuid""        ""YES""        
""catalog_items""        ""item_code""        ""character varying""        ""YES""        
""catalog_items""        ""name""        ""character varying""        ""NO""        
""catalog_items""        ""description""        ""text""        ""YES""        
""catalog_items""        ""category""        ""character varying""        ""YES""        
""catalog_items""        ""unit_price""        ""numeric""        ""NO""        
""catalog_items""        ""unit_type""        ""character varying""        ""YES""        
""catalog_items""        ""minimum_order""        ""numeric""        ""YES""        
""catalog_items""        ""lead_time_days""        ""integer""        ""YES""        
""catalog_items""        ""is_taxable""        ""boolean""        ""YES""        ""true""
""catalog_items""        ""metadata""        ""jsonb""        ""YES""        
""catalog_items""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""catalog_items""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",external access,sync up external products for estimating,coming 2nd beta release,no,catalog_items_catalog_id_fkey: catalog_id → external_partner_catalog.id,"catalog_items_pkey, idx_catalog_items_catalog, idx_catalog_items_item_code","CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (unit_price IS NOT NULL), FOREIGN KEY (catalog_id) REFERENCES external_partner_catalog(id), PRIMARY KEY (id), NOT NULL (id), NOT NULL (name), NOT NULL (unit_price)",,,,,,,,
collection_contact_roles,,"""collection_contact_roles""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""collection_contact_roles""        ""collection_id""        ""uuid""        ""YES""        
""collection_contact_roles""        ""contact_id""        ""uuid""        ""YES""        
""collection_contact_roles""        ""role_type""        ""character varying""        ""NO""        
""collection_contact_roles""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""",collections,role in the collection,"Defines the roles that contacts play within a collection, such as PRIMARY, SPOUSE, AGENT, etc.",yes,"collection_contact_roles_collection_id_fkey: collection_id → collections.id
collection_contact_roles_contact_id_fkey: contact_id → contacts.id","idx_contact_roles_contact, collection_contact_roles_pkey, idx_contact_roles_unique, idx_contact_roles_collection","CHECK (id IS NOT NULL), CHECK (role_type IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), FOREIGN KEY (contact_id) REFERENCES contacts(id), PRIMARY KEY (id), NOT NULL (role_type)",,,,,,,,
collection_pulse,,"""collection_pulse""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""collection_pulse""        ""collection_id""        ""uuid""        ""YES""        
""collection_pulse""        ""pulse_type""        ""character varying""        ""YES""        
""collection_pulse""        ""content""        ""jsonb""        ""YES""        
""collection_pulse""        ""last_synced""        ""timestamp with time zone""        ""YES""        
""collection_pulse""        ""metadata""        ""jsonb""        ""YES""        
""collection_pulse""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""collection_pulse""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joining table,,"Stores activity data and health metrics for collections, enabling activity tracking and scoring.",,collection_pulse_collection_id_fkey: collection_id → collections.id,collection_pulse_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), PRIMARY KEY (id)",,collection_id creation,,,,,,
collections,,"""collections""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""collections""        ""name""        ""character varying""        ""YES""        
""collections""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""collections""        ""created_by""        ""uuid""        ""YES""        
""collections""        ""metadata""        ""jsonb""        ""YES""        
""collections""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""collections""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""collections""        ""filter_criteria""        ""jsonb""        ""YES""        ",containers,organizes entity data for consumption,our 'pane of glass',YES,null,collections_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,addresses record creation,activity log,,,,,
